TruthStatus	SDQC_Labels
2	[[3, 0.0], [3, 1.0]]
2	[[0, 0.0], [3, 1.0]]
2	[[0, 0.0], [3, 1.0]]
2	[[0, 0.0], [3, 0.10883583331407308], [3, 1.0]]
2	[[0, 0.0], [3, 0.5320508764158705], [3, 1.0]]
2	[[0, 0.0], [1, 0.9200755601875977], [0, 0.945479416362689], [3, 1.0]]
2	[[0, 0.0], [3, 0.02563278548036605], [3, 0.02951978698007529], [3, 1.0]]
2	[[0, 0.0], [3, 0.5208333333333334], [3, 0.9502487562189055], [3, 1.0]]
2	[[0, 0.0], [3, 0.2382976570011639], [3, 0.29963058549668536], [3, 0.3171904255857497], [3, 1.0]]
2	[[0, 0.0], [3, 0.08230646880953629], [3, 0.10349046545365564], [3, 0.10955552059846538], [3, 1.0]]
2	[[0, 0.0], [1, 0.8611701374132313], [0, 0.9061481796288426], [3, 0.9266893327666809], [0, 1.0]]
2	[[0, 0.0], [3, 0.3483135300881564], [0, 0.43560751245688], [3, 0.451513990034496], [3, 0.5354541970103488], [3, 1.0]]
2	[[0, 0.0], [3, 0.5078454984992001], [3, 0.7814943293132268], [3, 0.900138397109837], [3, 0.9154699210956737], [3, 0.9643043298524363], [3, 1.0]]
2	[[0, 0.0], [3, 0.3394472673193704], [3, 0.49318378981286404], [3, 0.5118354195067543], [0, 0.5747924154170281], [3, 0.6250464741603668], [0, 0.7781633411823027], [3, 1.0]]
2	[[0, 0.0], [3, 0.09369637216216511], [3, 0.14950758031195688], [3, 0.18398242373233356], [3, 0.18440871380633314], [3, 0.2662782690436893], [3, 0.30666652092647045], [3, 0.4105938548646256], [3, 0.46396755823231717], [3, 1.0]]
2	[[0, 0.0], [3, 0.14631232184614335], [3, 0.23346476180722686], [3, 0.2872992302046529], [3, 0.2879649068906071], [3, 0.4158089678597641], [3, 0.4788775666956833], [3, 0.9684230289996074], [3, 0.980644170208408], [3, 0.9938723607626265], [3, 1.0]]
2	[[0, 0.0], [3, 0.456956956956957], [3, 0.663913913913914], [3, 0.6890223556890224], [3, 0.785618952285619], [3, 0.8634467801134468], [3, 0.8851351351351351], [3, 0.8925592258925592], [3, 0.8987320653987321], [3, 0.9279279279279279], [3, 1.0]]
2	[[3, 0.0], [3, 1.0]]
2	[[3, 0.0], [3, 0.7202905591412775], [3, 1.0]]
2	[[1, 0.0], [0, 0.5664192031675328], [1, 0.7636476119772334], [0, 1.0]]
2	[[1, 0.0], [3, 0.7989167230873392], [3, 0.9238320920785376], [3, 1.0]]
2	[[1, 0.0], [0, 0.1726826072715362], [1, 0.4186701604978709], [3, 0.8194890271863741], [3, 1.0]]
2	[[1, 0.0], [0, 0.2105935927139091], [1, 0.5105856035791324], [3, 0.5268834385236079], [3, 0.9585763361827914], [3, 1.0]]
2	[[1, 0.0], [0, 0.17479526540897186], [1, 0.4237923145784291], [3, 0.43731971751599746], [3, 0.7956301183647757], [0, 0.8353834421935612], [1, 1.0]]
2	[[3, 0.0], [3, 0.0212299176454705], [3, 0.10824220332118266], [3, 0.19461320372620494], [3, 0.24314837316052382], [3, 0.25408397461860405], [3, 0.27494262184420143], [3, 0.31061833400837047], [3, 0.35395571756446603], [3, 0.4243958417712974], [3, 0.5396921830700688], [3, 0.5480963953017416], [3, 0.7398744430943702], [3, 0.7502362629944647], [3, 0.7766639665181585], [3, 0.8304306736870528], [3, 0.8346496557310652], [3, 0.8379910895099231], [3, 1.0]]
2	[[3, 0.0], [3, 0.01608078742170523], [3, 0.08198900677489454], [3, 0.14741147897226128], [3, 0.18417486897609614], [3, 0.19245813626486002], [3, 0.20825770164898377], [3, 0.235280582896587], [3, 0.26810686437428094], [3, 0.32146235459542377], [3, 0.4087945800843666], [3, 0.41516042438962036], [3, 0.5604243896203502], [3, 0.5682730410328518], [3, 0.5882909369806979], [3, 0.6290170011504538], [3, 0.6322127061229708], [3, 0.6347437044612041], [3, 1.0]]
2	[[0, 0.0], [3, 0.9594543001858027], [3, 1.0]]
2	[[0, 0]]
2	[[0, 0.0], [3, 0.1141750227894257], [3, 0.292616226071103], [3, 0.8714676390154968], [3, 1.0]]
2	[[0, 0.0], [3, 0.07338508861871978], [3, 0.18807675406474295], [3, 0.5601288999560569], [3, 1.0]]
2	[[3, 0.0], [2, 0.6303688606084709], [3, 0.648936170212766], [1, 0.710839630145158], [3, 1.0]]
2	[[0, 0.0], [0, 0.4678714859437751], [3, 1.0]]
2	[[0, 0.0], [0, 0.013398119663034416], [3, 0.026767487996319828], [3, 0.8219430148644374], [3, 1.0]]
2	[[0, 0.0], [3, 0.007421929701722448], [3, 0.14902207907389253], [3, 1.0]]
2	[[0, 0.0], [1, 0.9792631593766278], [3, 0.9940590992918784], [3, 1.0]]
2	[[0, 0.0], [3, 0.9524424545089261], [0, 1.0]]
2	[[0, 0.0], [3, 0.05191063435253771], [3, 0.058679852851745144], [3, 1.0]]
2	[[2, 0.0], [3, 1.0]]
2	[[1, 0.0], [3, 1.0]]
2	[[1, 0.0], [3, 0.6422516107154967], [3, 0.6842997626314005], [3, 1.0]]
2	[[1, 0.0], [3, 0.23035757723181707], [3, 0.24543906592070056], [3, 1.0]]
2	[[1, 0.0], [3, 0.04025675905458256], [3, 0.04289236524400612], [3, 0.6863203536813467], [3, 1.0]]
2	[[3, 0.0], [3, 1.0]]
2	[[3, 0.0], [3, 1.0]]
2	[[3, 0.0], [3, 1.0]]
2	[[3, 0.0], [3, 1.0]]
2	[[3, 0.0], [3, 0.18489132728423718], [3, 1.0]]
2	[[0, 0.0], [3, 0.8976377952755905], [3, 1.0]]
2	[[3, 0]]
2	[[3, 0.0], [3, 1.0]]
2	[[3, 0.0], [3, 0.9448545007211334], [3, 1.0]]
2	[[3, 0.0], [3, 0.5826619231976562], [3, 1.0]]
2	[[3, 0.0], [3, 0.6335760609853226], [0, 1.0]]
2	[[3, 0.0], [3, 0.4660710175556067], [3, 1.0]]
2	[[3, 0.0], [3, 0.2314542526107965], [3, 1.0]]
2	[[3, 0.0], [3, 0.2994098907155243], [0, 0.6487303913002568], [3, 1.0]]
2	[[3, 0.0], [3, 0.35583743370183396], [3, 0.48774682088312354], [3, 0.995015655952457], [3, 1.0]]
2	[[0, 0.0], [3, 1.0]]
2	[[2, 0.0], [3, 0.3191824180540405], [3, 0.8600704565369003], [3, 1.0]]
2	[[3, 0]]
2	[[3, 0.0], [3, 1.0]]
2	[[3, 0.0], [1, 0.19000445235975066], [3, 1.0]]
2	[[3, 0.0], [1, 0.06391104122205998], [0, 1.0]]
2	[[3, 0.0], [1, 0.42242019302152933], [3, 1.0]]
2	[[0, 0.0], [3, 0.8679755354027264], [3, 1.0]]
2	[[0, 0.0], [3, 0.5064323429389654], [3, 0.5327993556470377], [3, 0.5349807589046], [3, 1.0]]
2	[[3, 0]]
2	[[2, 0.0], [3, 1.0]]
2	[[0, 0.0], [3, 1.0]]
2	[[2, 0]]
2	[[3, 0]]
2	[[3, 0]]
2	[[0, 0]]
2	[[0, 0]]
2	[[1, 0]]
0	[[3, 0.0], [3, 0.041970844680412844], [3, 1.0]]
0	[[3, 0]]
0	[[2, 0.0], [3, 1.0]]
0	[[2, 0]]
2	[[0, 0.0], [0, 1.0]]
2	[[3, 0.0], [3, 1.0]]
2	[[3, 0.0], [3, 0.5973640005168627], [3, 1.0]]
2	[[3, 0.0], [3, 1.0]]
2	[[0, 0]]
2	[[1, 0.0], [0, 1.0]]
2	[[1, 0.0], [0, 0.6434898722988095], [1, 1.0]]
2	[[0, 0]]
2	[[3, 0.0], [3, 0.7181882352941177], [3, 1.0]]
2	[[0, 0.0], [3, 0.40863835412707594], [3, 1.0]]
2	[[0, 0.0], [3, 0.9558869899728827], [3, 1.0]]
2	[[2, 0.0], [3, 1.0]]
2	[[2, 0.0], [3, 1.0]]
2	[[2, 0.0], [3, 0.04837949877520256], [3, 1.0]]
2	[[3, 0]]
2	[[2, 0]]
2	[[0, 0.0], [3, 0.9954559023516535], [3, 1.0]]
2	[[0, 0.0], [3, 0.6724941316610027], [3, 1.0]]
2	[[0, 0.0], [3, 0.43151316233167725], [3, 1.0]]
2	[[0, 0.0], [3, 0.5785983421250942], [3, 1.0]]
2	[[0, 0.0], [0, 0.5673191952147907], [3, 0.7138662316476346], [3, 1.0]]
2	[[0, 0.0], [3, 0.5008872188299149], [3, 0.7531183132404363], [3, 0.9704347372266583], [3, 1.0]]
2	[[0, 0]]
2	[[3, 0.0], [0, 1.0]]
2	[[3, 0.0], [0, 1.0]]
2	[[3, 0.0], [0, 1.0]]
2	[[3, 0.0], [0, 1.0]]
2	[[3, 0.0], [3, 0.848423780048942], [3, 0.894846696415719], [3, 1.0]]
2	[[3, 0.0], [3, 0.8264740938091566], [3, 0.8716959966346491], [3, 1.0]]
2	[[0, 0.0], [3, 1.0]]
2	[[0, 0.0], [3, 0.4796991195828703], [3, 0.9885673989229848], [3, 1.0]]
2	[[0, 0.0], [0, 1.0]]
2	[[0, 0.0], [0, 0.3866566716641679], [3, 1.0]]
2	[[3, 0.0], [3, 1.0]]
2	[[3, 0.0], [0, 1.0]]
2	[[3, 0.0], [3, 0.7035056446821153], [3, 0.9980689245395128], [3, 1.0]]
2	[[3, 0.0], [3, 0.03422705441494696], [3, 0.36051441740996815], [3, 1.0]]
2	[[3, 0.0], [3, 0.03420238388242326], [3, 0.36025456207587636], [3, 0.4891266129882916], [3, 1.0]]
2	[[1, 0.0], [3, 0.30538037611499347], [3, 1.0]]
0	[[3, 0.0], [3, 0.11246908191473884], [3, 0.4879965080750764], [3, 0.6275280081478248], [3, 1.0]]
0	[[3, 0.0], [3, 0.1109834888729361], [3, 0.4815506101938263], [3, 0.6192390524048815], [3, 1.0]]
0	[[3, 0.0], [3, 0.17382505059590736], [3, 0.7542163256127726], [3, 0.9698673262873847], [3, 1.0]]
0	[[3, 0.0], [3, 0.10808165548098433], [3, 0.1368847874720358], [3, 0.5722175615212528], [3, 0.8734619686800895], [3, 1.0]]
0	[[3, 0.0], [3, 0.10787802665550206], [3, 0.13662689274998255], [3, 0.5711394878235992], [3, 0.8718163421952411], [3, 1.0]]
0	[[3, 0.0], [3, 0.04052530865815618], [3, 0.05132506749849275], [3, 0.21455346142756035], [3, 0.6027680935280086], [3, 1.0]]
0	[[3, 0.0], [3, 0.06579843377596187], [3, 0.08333333333333333], [3, 0.3483571671773919], [3, 0.39802519577800477], [3, 0.9734422880490297], [3, 1.0]]
0	[[3, 0.0], [3, 0.027603692395593408], [3, 0.034959915724820115], [3, 0.1461424464799043], [3, 0.266663095684468], [3, 0.6824861178067028], [3, 0.7335511632474512], [3, 1.0]]
0	[[3, 0.0], [3, 0.032052743971969395], [3, 0.040594613646258784], [3, 0.16969709534965688], [3, 0.28376837434951174], [3, 0.29440424605560506], [3, 0.3382953579499513], [3, 0.7645388012356685], [3, 1.0]]
0	[[3, 0.0], [3, 0.016548033181696547], [3, 0.0718009098207118], [3, 0.09421461065025422], [3, 0.09716885202033716], [3, 0.10121487824458121], [3, 0.11793417179555793], [3, 0.3971099812683971], [3, 0.522986352689323], [3, 0.9335402729462136], [3, 1.0]]
0	[[3, 0.0], [3, 1.0]]
0	[[3, 0.0], [3, 0.9603869184707509], [0, 1.0]]
0	[[3, 0.0], [3, 0.7035204139016984], [0, 1.0]]
0	[[3, 0.0], [3, 0.7332942555685815], [3, 1.0]]
0	[[3, 0.0], [3, 0.7458860004769855], [3, 1.0]]
0	[[3, 0.0], [3, 0.45603674540682415], [3, 1.0]]
0	[[3, 0.0], [3, 0.5261357307661707], [3, 0.7374890603866656], [3, 1.0]]
0	[[3, 0.0], [3, 0.39940810533309173], [3, 0.5598538382557227], [3, 0.5702421936341124], [3, 1.0]]
0	[[3, 0.0], [3, 0.1861164008569388], [3, 0.5662937395858129], [3, 0.7545822423232563], [3, 1.0]]
0	[[3, 0.0], [3, 0.3426083146190502], [3, 0.3658870570192255], [3, 0.48069233718573695], [3, 0.8332694309032153], [3, 1.0]]
0	[[3, 0.0], [3, 0.09411817812485894], [3, 0.2863720489324245], [3, 0.3815886486405152], [3, 0.4949216810364285], [3, 0.9444920928692878], [3, 0.9460720143246212], [3, 1.0]]
0	[[3, 0.0], [3, 0.22792697591371205], [3, 0.2434136209598076], [3, 0.9516816674561819], [3, 1.0]]
0	[[3, 0.0], [3, 1.0]]
0	[[3, 0.0], [3, 0.6748814069188939], [3, 1.0]]
0	[[3, 0.0], [3, 0.6548046699595869], [3, 1.0]]
0	[[2, 0.0], [3, 1.0]]
0	[[2, 0.0], [3, 1.0]]
0	[[2, 0.0], [3, 1.0]]
0	[[2, 0.0], [3, 0.46603333930811974], [3, 1.0]]
0	[[2, 0.0], [3, 0.976342470897484], [3, 1.0]]
0	[[2, 0.0], [3, 0.3044496487119438], [3, 1.0]]
0	[[2, 0.0], [3, 0.09070705407852499], [3, 1.0]]
0	[[2, 0.0], [3, 0.17975663716814158], [3, 0.3739629424778761], [3, 1.0]]
0	[[2, 0.0], [3, 0.025477707006369428], [3, 0.4723174914257717], [3, 0.5504654581087702], [3, 0.9426751592356688], [3, 1.0]]
0	[[2, 0.0], [3, 0.0363528402718216], [0, 0.46687998944382136], [3, 0.5190011215939829], [3, 0.6637857095731345], [3, 0.6944975918717424], [3, 0.8696311935079502], [3, 0.8929867388005542], [3, 0.940390578610543], [3, 0.952068351256845], [3, 0.9759187174242924], [3, 1.0]]
0	[[2, 0.0], [3, 0.5417585108988489], [3, 1.0]]
0	[[3, 0]]
0	[[0, 0]]
2	[[3, 0.0], [3, 0.9182139195808179], [3, 1.0]]
2	[[3, 0.0], [3, 0.33299990906610893], [3, 1.0]]
2	[[3, 0.0], [3, 0.6485433454352254], [3, 0.7124767555122642], [3, 0.9309306650137253], [3, 1.0]]
2	[[3, 0.0], [3, 0.6665453221696396], [3, 0.7554605023662176], [3, 0.8932471787404441], [3, 1.0]]
2	[[3, 0.0], [3, 0.5119888150996155], [3, 0.5624606780845858], [3, 0.7349178608878014], [3, 0.7487591751135967], [3, 0.9572876616567634], [3, 1.0]]
2	[[3, 0.0], [3, 0.3674493277142284], [3, 0.4036724864539434], [3, 0.5274433072446317], [3, 0.5373770820790689], [3, 0.6870359221352599], [3, 1.0]]
2	[[3, 0.0], [3, 0.3618934677339658], [3, 0.39756892973613994], [3, 0.5194683269097737], [3, 0.5292519023618935], [3, 0.6766478901077182], [3, 1.0]]
2	[[3, 0.0], [3, 0.07061387016843587], [3, 0.07757498626095508], [3, 0.10136040648290091], [3, 0.10326941061907655], [3, 0.13202981131711644], [3, 1.0]]
2	[[3, 0.0], [3, 0.5478345425985489], [3, 0.6018400777919066], [3, 0.7863714563542524], [3, 0.924975690029172], [3, 0.9795048245942105], [3, 1.0]]
2	[[3, 0.0], [3, 0.11103362542069677], [3, 0.12197932142748856], [3, 0.1593796428246566], [3, 0.18747157454291866], [3, 0.19852339225614749], [3, 1.0]]
2	[[3, 0.0], [3, 0.5667853273487077], [3, 0.6423928184491565], [3, 0.7595573440643864], [3, 0.9443584584429655], [3, 0.9638600835783935], [3, 1.0]]
2	[[3, 0.0], [3, 0.50758888349851], [3, 0.5752997435719731], [3, 0.6802273199805946], [3, 0.8457273546330307], [3, 0.8631921824104235], [3, 1.0]]
2	[[3, 0.0], [3, 0.5227321390336165], [3, 0.5924630647348512], [3, 0.7005210191992006], [3, 0.8709585325815431], [3, 0.8889444008279209], [3, 1.0]]
2	[[3, 0.0], [3, 0.11048090267302238], [3, 0.1252187292584324], [3, 0.14805708079406263], [3, 0.18407952694141072], [3, 0.18788089060520122], [3, 1.0]]
2	[[3, 0.0], [3, 0.37491681597133353], [3, 0.4249296135142053], [3, 0.502431533145636], [3, 0.6246736626567699], [3, 0.6375735858715127], [3, 0.8986946506270796], [3, 1.0]]
2	[[3, 0.0], [3, 0.1311722038148115], [3, 0.14410316109966867], [3, 0.18828691680845347], [3, 0.22147398585116862], [3, 0.23453031252798423], [3, 0.23906152055162533], [3, 0.24242858422136654], [3, 1.0]]
2	[[3, 0.0], [3, 0.35836962372168124], [3, 0.39369770514263347], [3, 0.5144101384743358], [3, 0.6050790233400205], [3, 0.6407496207858296], [3, 0.6531291285413711], [3, 0.7285315848705779], [3, 1.0]]
2	[[3, 0.0], [3, 0.39629890157459013], [3, 0.4353660516205833], [3, 0.5688544992154104], [3, 0.6691196363833126], [3, 0.7085655538120231], [3, 0.7222552892159515], [3, 0.8056382230398788], [3, 1.0]]
2	[[3, 0]]
2	[[3, 0.0], [3, 0.5251897860593513], [3, 1.0]]
2	[[3, 0.0], [3, 0.9732784068379081], [3, 1.0]]
2	[[3, 0.0], [3, 0.672056586553088], [3, 1.0]]
2	[[3, 0.0], [3, 0.49050632911392406], [3, 1.0]]
